 ** Video Info ** 
Video File:
	Name:	poisson.mp4
	Frame Count:	379.0
	Video Duration:	14.037037037037036
	Width:	1280
	Height:	720
	FPS:	27.0
	Play Audio Track:	True
Video Display:
	Window Resolution:	[2560 1080]
	Window Fullscreen:	True
	Drawn Size:	[1280.  720.]
	Refresh Rate (reported / calculated):	60 / 60.03691069243398

 ** Video Playback Stats ** 
Playback Time: 14.161
Total Frames Dropped: 3
Draw duration (min, max, mean): (0.003008, 0.024939, 0.004086)
Flip duration (min, max, mean): (0.004389, 0.095396, 0.012759)
Draw + Flip duration (min, max, mean): (0.012378, 0.100319, 0.016846)
Frame Display Interval (min, max, mean): (0.000000, 1.034616, 0.040115)
Effective Frame Interval (min, max, mean): (0.000000, 1.034616, 0.040038)

 ** Column Definitions ** 
frame_num:	The frame index being displayed. Range is 1 to video frame count.
frame_flip_time:	The time returned by win.flip() for the current frame_num.
playback_duration:	current frame_flip_time minus the first video frame_flip_time.
frame_num_dx:	Equals current frame_num - the last flipped frame_num.
dropped_count:	Total number of video frames dropped so far.
draw_duration:	The time taken for the current video frames .draw() call to return.
flip_duration:	The time taken for the win.flip() call to return.
flip_interval:	current frame_num frame_flip_time - last frame_flip_time.
per_frame_interval:	Equals flip_interval / frame_num_dx.
fps:	Equals playback_duration / current frame_num.

 ** Per Frame Video Playback Data ** 
frame_num	frame_flip_time	playback_duration	frame_num_dx	dropped_count	draw_duration	flip_duration	flip_interval	per_frame_interval	fps
2	46.467064	0.000000	0	0	0.024939	0.004389	0.000000	0.000000	0.000
3	46.492058	0.024994	1	0	0.005683	0.008267	0.024994	0.024994	120.027
4	46.532429	0.065365	1	0	0.003986	0.014453	0.040371	0.040371	61.195
5	46.567499	0.100435	1	0	0.004445	0.012147	0.035070	0.035070	49.784
6	46.761210	0.294146	1	0	0.003651	0.058071	0.193711	0.193711	20.398
8	46.784672	0.317608	2	1	0.003390	0.008988	0.023462	0.011731	25.188
9	46.829531	0.362468	1	1	0.004008	0.014328	0.044860	0.044860	24.830
10	46.863791	0.396727	1	1	0.004465	0.011213	0.034260	0.034260	25.206
11	46.904431	0.437367	1	1	0.004694	0.013729	0.040639	0.040639	25.151
12	46.938951	0.471887	1	1	0.003909	0.012140	0.034520	0.034520	25.430
13	46.975211	0.508147	1	1	0.003657	0.012743	0.036260	0.036260	25.583
14	47.015378	0.548314	1	1	0.005240	0.013419	0.040167	0.040167	25.533
15	47.048685	0.581621	1	1	0.003449	0.011625	0.033307	0.033307	25.790
16	47.086948	0.619884	1	1	0.003291	0.013364	0.038264	0.038264	25.811
17	47.123292	0.656229	1	1	0.003508	0.012378	0.036344	0.036344	25.906
18	47.160870	0.693807	1	1	0.003451	0.012112	0.037578	0.037578	25.944
19	47.199021	0.731957	1	1	0.003476	0.013330	0.038150	0.038150	25.958
20	47.235197	0.768134	1	1	0.004449	0.012629	0.036177	0.036177	26.037
